configuration,ground_truth,image,PSNR_norm,SSIM_norm,MSSSIM_norm,IWSSIM_norm,VIF_norm,FSIM_norm,GMSD_norm,MSGMSD_norm,HAARPSI_norm,UQI_norm,S3IM_norm,TV_norm,BRISQUE_norm,CLIP-IQA_norm
scene_2216,image_100_full,image_100_256,0.21290797504937384,0.7667572053419784,0.8512323087001806,0.859938419775367,0.29069336880776114,0.5318282481140366,0.6255503043,0.6427338206,0.6606207665882854,0.9573869214281574,0.6954735323271385,0.8543007271,1.0,0.3385342114701893
scene_2216,image_100_full,image_100_32,0.04255264658192865,0.08672142974555025,0.1440771768746305,0.14276884344408658,0.019040839114521074,0.01476391519978512,0.04778386823,0.05894184028,0.0511048069222224,0.5751889348381004,0.07743517325061512,0.2232270798,0.4508127837,0.496944067331008
scene_2216,image_100_full,image_100_64,0.0,0.270848138798618,0.39574907778449064,0.39076219443858806,0.058104754925802804,0.07941931608677955,0.1722546079,0.1990568519,0.19643331589034838,0.0,0.23510597601274116,0.4928090372,0.6169269578,0.7860092319440222
scene_2217,image_211_full,image_211_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11182215290680142
scene_2217,image_211_full,image_211_128,0.21273981016099244,0.758329019329799,0.8204663164929739,0.8246928070814149,0.2746267078832815,0.13547503826636006,0.6388061926,0.6536126838,0.5686479002254347,0.9390409878657111,0.7212646452265113,0.7570945221,0.6417870116,0.0
scene_2217,image_211_full,image_211_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496670107,1.0
scene_2217,image_211_full,image_211_256,0.2604773138975861,0.9090985155815391,0.9368240286000119,0.9418891605055066,0.4734817318970191,0.39879460597238525,0.8537226983,0.8569725486,0.8361843036021988,0.9553971555988996,0.8888887399737737,0.8901796214,1.0,0.2437720883487657
scene_2217,image_211_full,image_211_32,0.07910245656433613,0.2911556792312951,0.35816225009167957,0.3198297214858279,0.05198541924350297,0.01584763616766781,0.1808026197,0.1991920508,0.1466676966197136,0.6114084895928429,0.268138989607331,0.3480233047,0.6884103088,0.6430248235496847
scene_2217,image_211_full,image_211_64,0.06335855118417516,0.5063536687554864,0.5973705198539233,0.5837729938075915,0.13894017069750675,0.04264297362393314,0.3707586184,0.3946020421,0.31561796491209415,0.32280271328189847,0.4698779284244269,0.5570217913,0.2760204449,0.17417048553007505
scene_2219,image_170_full,image_170_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1050756965,0.0
scene_2219,image_170_full,image_170_128,0.1943005118246817,0.7234459373336928,0.8047849248408029,0.7981378885935525,0.26795798126739995,0.23112334625581468,0.571397972,0.6017293196,0.5512114023018044,0.9490034020975353,0.6726944791357413,0.7890735077,0.0,0.5140162933291482
scene_2219,image_170_full,image_170_16,0.014433638216359476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46091384692176524,0.0,0.0,0.4786299994,0.989289514027529
scene_2219,image_170_full,image_170_256,0.17066067246791172,0.8993714601612148,0.9336880851549747,0.9334915123281912,0.4296366801906492,0.5325190312470214,0.8312359951,0.8398126591,0.8268204780986969,0.8859087488034503,0.8703729111602585,0.9257896323,1.0,0.7345579926214825
scene_2219,image_170_full,image_170_32,0.0,0.21545403419949924,0.293784675923992,0.25457706915605216,0.046139876136666674,0.03967842751713431,0.1212776306,0.1445753465,0.11194125416573654,0.0,0.1904010422917954,0.3431700094,0.57363011,1.0
scene_2219,image_170_full,image_170_64,0.10651321067482344,0.44864384646017186,0.5588507192662511,0.5305542107547179,0.13345477904499412,0.10245083395474,0.2870223796,0.3260901321,0.2692981339933534,0.8193881022234651,0.40221195414950817,0.5686896214,0.200844827,0.8117509973120723
scene_2304,image_212_full,image_212_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2775629153,0.5257603060825291
scene_2304,image_212_full,image_212_128,0.16003782102285471,0.5901872967033365,0.7133679688729114,0.7226412587639951,0.08963728865675576,0.837515431424623,0.5492101413,0.5674313746,0.4876487753141026,0.9004449586227367,0.43966445408526084,0.639306723,1.0,0.3824710391571753
scene_2304,image_212_full,image_212_16,0.02413083650162372,0.0399390641597831,0.06050820775829846,0.04802893708508654,0.006262912446782219,0.17639190747648786,0.07797928263,0.08486904443,0.035439099539649105,0.2751118677981159,0.03815097508583216,0.09062242742,0.2810569725,0.8343970814497359
scene_2304,image_212_full,image_212_32,0.055253621562048535,0.11651641437349486,0.15418392611037285,0.12109496758374075,0.016553731391567864,0.3878158512604917,0.1324750071,0.1354221483,0.07312152015964107,0.5385989834328597,0.0915517506960553,0.1771472297,0.5959081337,1.0
scene_2304,image_212_full,image_212_64,0.11274650866059689,0.28674165874105395,0.401342737406824,0.37717589471436574,0.04258238081428998,0.6414094271486742,0.2584904645,0.2722792767,0.18195632425908687,0.8172865830954468,0.20663169748283938,0.3457440584,0.7599881498,0.978360146736657
scene_2304,image_212_full,image_212_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scene_2308,image_373_full,image_373_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
scene_2308,image_373_full,image_373_128,0.23789174472025865,0.6035622598293727,0.7056469036677524,0.7775092118259164,0.09628517914546249,0.7392567641803501,0.6036401402,0.5983962512,0.5789885669631922,0.9695895242851656,0.46548631450101224,0.6093467558,0.7179352318,0.7021996599814007
scene_2308,image_373_full,image_373_16,0.035098654240080726,0.0,0.0,0.026789098816146474,0.012619651149779733,0.264331897910969,0.07548398269,0.08345798674,0.011217304047560515,0.3518071054783161,0.0,0.0,0.1984272526,0.733812633938704
scene_2308,image_373_full,image_373_32,0.11584775883423495,0.15822834774166253,0.19479946283078284,0.1843774792921851,0.02916990829863518,0.44207838048726655,0.2061178903,0.215756797,0.10300177350508208,0.7900969588212268,0.10863855735397802,0.2016287558,0.3973687953,1.0
scene_2308,image_373_full,image_373_64,0.16544164322357796,0.3176317437578264,0.43092202690504916,0.49997908855372236,0.05772714151490393,0.6323605906982476,0.3392182176,0.3554513146,0.26090377166614026,0.9027513984238907,0.22264334153946758,0.3524931257,0.4821775425,0.9140317406959261
scene_2308,image_373_full,image_373_8,0.0,0.06387437430237365,0.02866696907959252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032918362338608925,0.03304970963,0.0,0.01584542469869566
scene_2312,image_287_full,image_287_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5584775705,0.0
scene_2312,image_287_full,image_287_128,0.24378051688654206,0.676999178486864,0.7684747819090131,0.8322777552670388,0.10338643556027347,0.6532400117828331,0.711690389,0.688392633,0.6744440799306977,0.9725131584304947,0.5332849783344329,0.654370917,1.0,0.7920557865709515
scene_2312,image_287_full,image_287_16,0.08575088451288428,0.04751943945886341,0.08150198193043716,0.08358378003844597,0.01614742296858307,0.3013368543198161,0.14461572,0.1449585379,0.05744675202577228,0.6983617327608539,0.038254179263919594,0.102470055,0.2548372328,0.7456775186780081
scene_2312,image_287_full,image_287_32,0.10965057811226359,0.16959508842209134,0.24616361834246672,0.2421976415685287,0.03840805077641918,0.44882718525086546,0.2622057677,0.2652598212,0.14121210786916388,0.723193388362324,0.12409662227449685,0.2472874192,0.5282956096,1.0
scene_2312,image_287_full,image_287_64,0.18206039257350085,0.4003690582172884,0.520049284447788,0.5831746994655105,0.06717796522966625,0.5861036342599637,0.4500036669,0.4475601877,0.34604000345440317,0.9260892957886464,0.28556655156706584,0.4306710337,0.6161433231,0.8663091571202322
scene_2312,image_287_full,image_287_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691783569294379
scene_2316,image_222_full,image_222_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7371868768,0.0
scene_2316,image_222_full,image_222_128,0.2176061047459779,0.5864868840282572,0.7053299721844499,0.7817139423317362,0.07656888446875243,0.654826368574664,0.6325534261,0.6201278817,0.5623742681932817,0.9579140481402304,0.4595137658567049,0.6636401108,1.0,0.8779407704219988
scene_2316,image_222_full,image_222_16,0.056190485911214255,0.007237897049162531,0.043652411952387435,0.05274070803511938,0.009667383855650124,0.2547010809926222,0.1036539498,0.1126261634,0.03719087512695449,0.5228144445766763,0.015507827102593966,0.1124316982,0.3179032647,0.5490058320599868
scene_2316,image_222_full,image_222_32,0.14293669956422508,0.11988871074747737,0.18217079136078917,0.19122229120568005,0.02086505189332701,0.39305564388492514,0.2070120204,0.2138959569,0.09636349758947076,0.8867267984309812,0.0981882231570965,0.2667521387,0.6116336149,1.0
scene_2316,image_222_full,image_222_64,0.17777682434491213,0.32967515046384865,0.4576835714630373,0.515028570982247,0.041459908702926235,0.5401379888844288,0.3796172844,0.3870979393,0.27735267560495586,0.9321535533432861,0.24852756011368396,0.4579543541,0.8061305814,0.9998872538224148
scene_2316,image_222_full,image_222_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32301017765308687
scene_2320,image_181_full,image_181_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
scene_2320,image_181_full,image_181_128,0.20243855034104316,0.6535277892061392,0.7391012304740924,0.8104836221127102,0.08687578966914512,0.6829344707368987,0.6754347076,0.6470627262,0.6217368472768334,0.9477640184889302,0.4870879184266569,0.626927304,0.6601033704,0.5894697965842715
scene_2320,image_181_full,image_181_16,0.0,0.0,0.0,0.027493987918940525,0.009492961268497621,0.15146814252006718,0.07597023528,0.07438193574,0.013359611104078949,0.0,0.0,0.0,0.1454273384,0.3813690001090608
scene_2320,image_181_full,image_181_32,0.12400607459682723,0.21499350756977925,0.23477153170746742,0.20262990380094764,0.021635879775866652,0.3442403119140084,0.2350754638,0.2259891614,0.11745818705508003,0.8467850314934227,0.1318253123685002,0.2332524038,0.3712377832,1.0
scene_2320,image_181_full,image_181_64,0.15055413960919561,0.40981535733199886,0.5095936050368447,0.5699104578290916,0.04934222450276724,0.5201016678922878,0.4280320663,0.4181454352,0.3194144451338913,0.8911221913157064,0.2679643000015147,0.3956875498,0.4043763726,0.9765211677800049
scene_2320,image_181_full,image_181_8,0.010199732715409192,0.08464452936577009,0.042253833263157355,0.0,0.0,0.0,0.0,0.0,0.0,0.12530166973585874,0.04981623499746558,0.02517942094,0.0,0.23370559230365892
scene_3201,SWFD_semicircle_sc_BP_slice0031,SWFD_semicircle_sc_BP_slice0031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999604965,0.0,0.0
scene_3201,SWFD_semicircle_sc_BP_slice0031,"SWFD_semicircle_sc,lv128_BP_slice0031",0.0,0.8697107804715271,0.6832779302477621,0.2830991903282515,0.0981626820891757,0.3743751381201363,0.7651255966,0.7349983156,0.604496503658726,0.0,0.8651657786968665,1.0,0.1454555146,0.3973503598972601
scene_3201,SWFD_semicircle_sc_BP_slice0031,"SWFD_semicircle_sc,ss128_BP_slice0031",0.2559133802189931,0.7369919701477077,0.8090167405292992,0.8071551554260341,0.24211756031850987,0.5676158947902407,0.8768888184,0.7797338146,0.7740963108246417,0.9721268556592234,0.7330867406435809,0.7358373262,0.302844524,0.4230546409987746
scene_3201,SWFD_semicircle_sc_BP_slice0031,"SWFD_semicircle_sc,ss32_BP_slice0031",0.08276376924972625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7082371130848492,0.0,0.0,1.0,1.0
scene_3201,SWFD_semicircle_sc_BP_slice0031,"SWFD_semicircle_sc,ss64_BP_slice0031",0.18783574178020662,0.39100022562404424,0.5251132909310753,0.5880717237270349,0.09924153860703713,0.22708379603836368,0.5724751336,0.4612989488,0.5117526225722927,0.9406509425012483,0.3924929410868717,0.3861376694,0.4324911705,0.9028913788780153
scene_3203,SWFD_semicircle_sc_BP_slice0090,SWFD_semicircle_sc_BP_slice0090,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001862332668,0.4802764516108471
scene_3203,SWFD_semicircle_sc_BP_slice0090,"SWFD_semicircle_sc,lv128_BP_slice0090",0.0,0.9509548723147642,0.9020206342013536,0.6694427447149544,0.26927855240853504,0.2480473465053076,0.8755869602,0.8725883095,0.8976520785544861,0.0,0.9514713840310922,0.9834650754,0.0,0.05778232824461154
scene_3203,SWFD_semicircle_sc_BP_slice0090,"SWFD_semicircle_sc,ss128_BP_slice0090",0.3171950512263392,0.8726620076779279,0.9236648672770227,0.9138848773357017,0.44180907667969915,0.3908074635111114,0.9222501103,0.8543221836,0.9152402522093902,0.9882333752568108,0.8719242227561274,0.8463450018,0.928376435,0.0
scene_3203,SWFD_semicircle_sc_BP_slice0090,"SWFD_semicircle_sc,ss32_BP_slice0090",0.10668815204882671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8397095116451867,0.0,0.0,0.914159663,1.0
scene_3203,SWFD_semicircle_sc_BP_slice0090,"SWFD_semicircle_sc,ss64_BP_slice0090",0.17617627726784427,0.5060595319305357,0.6587396329354821,0.7191036480293662,0.17162764858893867,0.04802365062506506,0.6274403153,0.5438228456,0.6784011601910959,0.9208918657813022,0.5196562479281872,0.4933818296,1.0,0.6431073375108219
scene_3205,SWFD_semicircle_sc_BP_slice0070,SWFD_semicircle_sc_BP_slice0070,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1610269642,0.0
scene_3205,SWFD_semicircle_sc_BP_slice0070,"SWFD_semicircle_sc,lv128_BP_slice0070",0.23127916651627867,0.8862012381397132,0.8902847202898608,0.8160351428663524,0.27554021160562225,0.7025646879665084,0.9304259166,0.9118587145,0.8628369401137468,0.9368135806909641,0.8832690051681937,0.9503409042,0.1203025858,0.12119961124603
scene_3205,SWFD_semicircle_sc_BP_slice0070,"SWFD_semicircle_sc,ss128_BP_slice0070",0.1790338750656781,0.6319410191754675,0.780619038828631,0.8147686398192976,0.2529287425687792,0.5558942369829806,0.8431817441,0.7111219993,0.7343446725366571,0.921173137563333,0.6264265648188599,0.7407216495,0.0,0.26571530614693095
scene_3205,SWFD_semicircle_sc_BP_slice0070,"SWFD_semicircle_sc,ss32_BP_slice0070",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821495083,1.0
scene_3205,SWFD_semicircle_sc_BP_slice0070,"SWFD_semicircle_sc,ss64_BP_slice0070",0.07356518027891067,0.253199489015367,0.4113947885405097,0.4898731828383554,0.09810389547436851,0.1884563127809674,0.3717537506,0.3268944832,0.3910394455580034,0.6822906840025563,0.2543663696656003,0.3354604116,1.0,0.9895595336615786
scene_3207,SWFD_semicircle_sc_BP_slice0002,SWFD_semicircle_sc_BP_slice0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819199658,0.5547243545,0.3772555907758238
scene_3207,SWFD_semicircle_sc_BP_slice0002,"SWFD_semicircle_sc,lv128_BP_slice0002",0.22353156456864778,0.8893278288054441,0.9014924063207015,0.8259999340597766,0.2290759042583145,0.6639947446016602,0.8888715741,0.8788774628,0.8592517113511013,0.9345990151630776,0.8851473319465719,1.0,0.2701566125,0.0
scene_3207,SWFD_semicircle_sc_BP_slice0002,"SWFD_semicircle_sc,ss128_BP_slice0002",0.08768109200640176,0.6596276023249664,0.8028160590330233,0.8393763818812602,0.2076064308546567,0.6973408173687025,0.8640864956,0.7402818467,0.7723360787130528,0.5895733939706086,0.6585368865489483,0.7618447362,0.0,0.6863746938842702
scene_3207,SWFD_semicircle_sc_BP_slice0002,"SWFD_semicircle_sc,ss32_BP_slice0002",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
scene_3207,SWFD_semicircle_sc_BP_slice0002,"SWFD_semicircle_sc,ss64_BP_slice0002",0.0809958600647529,0.3613177926602651,0.5468238819261171,0.6142484108748669,0.08139266729792914,0.27729825156816584,0.5215402153,0.4542282022,0.5124535566914223,0.6594545071180183,0.3600102155475064,0.48343113,0.8212317742,0.9253142618067604
scene_3209,SWFD_semicircle_sc_BP_slice0000,SWFD_semicircle_sc_BP_slice0000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948956013,0.1303882011,0.44653268921417416
scene_3209,SWFD_semicircle_sc_BP_slice0000,"SWFD_semicircle_sc,lv128_BP_slice0000",0.0,0.9289920994947601,0.835105337243059,0.5639786997610743,0.14500622348072098,0.0,0.8619670615,0.8529209856,0.8338926124811737,0.0,0.9270027774711321,1.0,0.0,0.0
scene_3209,SWFD_semicircle_sc_BP_slice0000,"SWFD_semicircle_sc,ss128_BP_slice0000",0.2123011120939205,0.8250817741994324,0.8525931380160497,0.7115798766414326,0.2523380710329588,0.4742094570347656,0.8996674108,0.8184747177,0.8250854124846527,0.9381085717416714,0.8149300875359257,0.8107486135,0.6070041846,0.14930446735713054
